cycle,segment_id,segment_type,idx_start,idx_stop,t_start_s,t_end_s,duration_min,U_start_V,U_end_V,I_mean_A,I_min_A,I_max_A,n_points
0,22,discharge,1012,1043,59400.00000000001,61200.0,29.99999999999988,3.7003314800911165,3.6490224511573275,0.5,0.5,0.5,31
0,23,rest,1043,1104,61200.00000000001,64800.0,59.99999999999988,3.664884116851261,3.676386821242877,0.0,0.0,0.0,61
0,24,discharge,1104,1135,64800.00000000001,66600.0,29.99999999999988,3.66032962051778,3.612543032765993,0.5,0.5,0.5,31
0,25,rest,1135,1196,66600.00000000001,70200.0,59.99999999999976,3.6286939230047626,3.6393567465902574,0.0,0.0,0.0,61
0,26,discharge,1196,1227,70200.00000000001,72000.0,29.99999999999976,3.623009670482931,3.571730936112894,0.5,0.5,0.5,31
0,27,rest,1227,1288,72000.00000000001,75600.0,59.99999999999976,3.588301559658195,3.5987333682392317,0.0,0.0,0.0,61
0,28,discharge,1288,1319,75600.00000000001,77400.0,29.99999999999976,3.581963725679555,3.5225297874000505,0.5,0.5,0.5,31
0,29,rest,1319,1380,77400.00000000001,81000.0,59.99999999999976,3.539687563438166,3.5500349069716037,0.0,0.0,0.0,61
0,30,discharge,1380,1411,81000.00000000001,82800.0,29.99999999999976,3.532676899839404,3.46862415321496,0.5,0.5,0.5,31
0,31,rest,1411,1472,82800.00000000001,86400.0,59.99999999999976,3.48659842645446,3.496030393902838,0.0,0.0,0.0,61
20,0,discharge,0,92,0.0,10906.972904996079,181.78288174993466,4.130154301140365,2.5000100000000005,1.666666666666666,1.6666666666666665,1.6666666666666665,92
20,1,rest,92,98,10906.97290499608,11506.972904996079,9.99999999999997,2.588460989831061,2.766464605021336,0.0,0.0,0.0,6
20,2,charge,98,213,11506.97290499608,25047.407651722133,225.6739124454342,2.8540166776985263,4.2,-1.3379602376201263,-1.6669806372956808,-0.05004999999999994,115
20,3,rest,213,219,25047.407651722137,25647.407651722133,9.99999999999994,4.197569202414866,4.194614555328048,0.0,0.0,0.0,6
20,4,discharge,219,311,25647.407651722137,36528.61239086307,181.35341231901555,4.124646881974619,2.5000100000000067,1.666666666666666,1.6666666666666665,1.6666666666666665,92
20,5,rest,311,317,36528.612390863076,37128.61239086307,9.99999999999988,2.5884908565026867,2.766497063379088,0.0,0.0,0.0,6
20,6,charge,317,432,37128.612390863076,50668.312120483984,225.66166216034847,2.854078831700072,4.2,-1.337988358128114,-1.6669801179052368,-0.05005000000000034,115
20,7,rest,432,438,50668.31212048399,51268.312120483984,9.99999999999988,4.197568748906602,4.194612872153655,0.0,0.0,0.0,6
20,8,discharge,438,530,51268.31212048399,62148.94613736398,181.3439002813331,4.124624664596505,2.500010000000011,1.666666666666666,1.6666666666666665,1.6666666666666665,92
20,9,rest,530,536,62148.946137363986,62748.94613736398,9.99999999999988,2.5885186530096713,2.766527042326135,0.0,0.0,0.0,6
20,10,charge,536,651,62748.946137363986,76287.96042703764,225.65023816122763,2.8541369451131473,4.199999999999999,-1.3380152681604534,-1.666980306159077,-0.05004999999999968,115
20,11,rest,651,657,76287.96042703766,76887.96042703764,9.999999999999757,4.19756831753473,4.194611365971129,0.0,0.0,0.0,6
20,12,discharge,657,749,76887.96042703766,87768.05141233167,181.33484975490015,4.124603643941671,2.500009999999997,1.666666666666666,1.6666666666666665,1.6666666666666665,92
20,13,rest,749,755,87768.05141233168,88368.05141233167,9.999999999999757,2.5885452681608228,2.7665556664857096,0.0,0.0,0.0,6
